ticker,date,open,high,low,close
BTC,0.0,0.04951,0.04951,0.04951,0.04951
BTC,0.00019425019425019425,0.04951,0.08585,0.04951,0.08584
BTC,0.0003885003885003885,0.08584,0.09307,0.07723,0.0808
BTC,0.0005827505827505828,0.0808,0.08181,0.07426,0.07474
BTC,0.000777000777000777,0.07474,0.07921,0.06634,0.07921
BTC,0.0009712509712509713,0.07921,0.08181,0.0505,0.0505
BTC,0.0011655011655011655,0.0505,0.06767,0.0505,0.06262
BTC,0.0013597513597513598,0.06262,0.06262,0.05049,0.05454
BTC,0.001554001554001554,0.05454,0.05941,0.0505,0.0505
BTC,0.0017482517482517483,0.0505,0.056,0.05,0.056
BTC,0.0019425019425019425,0.056,0.0605,0.053,0.06
BTC,0.002136752136752137,0.06,0.062,0.054,0.0589
BTC,0.002331002331002331,0.0589,0.0699,0.0571,0.0699
BTC,0.0025252525252525255,0.0699,0.0699,0.0582,0.0627
BTC,0.0027195027195027195,0.0627,0.06889,0.056,0.06785
BTC,0.002913752913752914,0.06785,0.06785,0.06,0.0611
BTC,0.003108003108003108,0.0611,0.0633,0.06,0.06
BTC,0.0033022533022533025,0.06,0.065,0.059,0.06
BTC,0.0034965034965034965,0.06,0.06231,0.057,0.057
BTC,0.003690753690753691,0.057,0.061,0.057,0.061
BTC,0.003885003885003885,0.061,0.0624,0.0607,0.0623
BTC,0.004079254079254079,0.0623,0.0623,0.059,0.059
BTC,0.004273504273504274,0.059,0.061,0.059,0.0609
BTC,0.004467754467754468,0.0609,0.0735,0.0593,0.071
BTC,0.004662004662004662,0.071,0.071,0.06651,0.07
BTC,0.004856254856254856,0.07,0.07541,0.06,0.067
BTC,0.005050505050505051,0.067,0.07,0.06141,0.07
BTC,0.005244755244755245,0.07,0.07,0.0645,0.0645
BTC,0.005439005439005439,0.0645,0.0695,0.0645,0.067
BTC,0.005633255633255633,0.067,0.067,0.065,0.06529
BTC,0.005827505827505828,0.06529,0.0679,0.062,0.0655
BTC,0.006021756021756022,0.0655,0.0769,0.06243,0.07
BTC,0.006216006216006216,0.07,0.0733,0.067,0.068
BTC,0.00641025641025641,0.068,0.068,0.0667,0.0667
BTC,0.006604506604506605,0.0667,0.0667,0.065,0.0655
BTC,0.006798756798756799,0.0655,0.0669,0.0644,0.0664
BTC,0.006993006993006993,0.0664,0.0664,0.0612,0.066
BTC,0.007187257187257187,0.066,0.06689,0.063,0.06491
