date,ticker,open,high,low,close,MA_3
2010-10-15,BTC,0.102,0.119,0.092,0.105,0.104
2010-10-16,BTC,0.105,0.105,0.1,0.101,0.10266666666666667
2010-10-17,BTC,0.101,0.1045,0.1,0.102,0.10266666666666667
2010-10-18,BTC,0.102,0.103,0.097,0.1024,0.1018
2010-10-19,BTC,0.1024,0.1024,0.097,0.097,0.10046666666666666
2010-10-20,BTC,0.097,0.103,0.094,0.099,0.09946666666666666
2010-10-21,BTC,0.099,0.109,0.097,0.107,0.10100000000000002
2010-10-22,BTC,0.107,0.109,0.1015,0.1025,0.10283333333333333
2010-10-23,BTC,0.1025,0.109,0.1025,0.1055,0.105
2010-10-24,BTC,0.1055,0.19,0.1055,0.115,0.10766666666666667
2010-10-25,BTC,0.115,0.19,0.09009,0.132,0.11750000000000001
2010-10-26,BTC,0.132,0.18,0.132,0.1503,0.13243333333333332
2010-10-27,BTC,0.1503,0.19,0.1503,0.1877,0.15666666666666668
2010-10-28,BTC,0.1877,0.191,0.1731,0.1731,0.17036666666666667
2010-10-29,BTC,0.1731,0.19,0.173,0.19,0.1836
2010-10-30,BTC,0.19,0.199,0.1875,0.1989,0.18733333333333335
2010-10-31,BTC,0.1989,0.1989,0.171,0.1925,0.1938
2010-11-01,BTC,0.1925,0.1955,0.172,0.1955,0.19563333333333333
2010-11-02,BTC,0.1955,0.1955,0.1905,0.1938,0.19393333333333337
2010-11-03,BTC,0.1938,0.275,0.125,0.1931,0.19413333333333335
2010-11-04,BTC,0.1931,0.236,0.1931,0.23,0.20563333333333333
2010-11-05,BTC,0.23,0.2639,0.2101,0.26,0.2277
2010-11-06,BTC,0.26,0.5,0.2402,0.39,0.2933333333333334
2010-11-07,BTC,0.39,0.47,0.286,0.34,0.33
2010-11-08,BTC,0.34,0.37,0.2261,0.243,0.32433333333333336
2010-11-09,BTC,0.243,0.323,0.199,0.21,0.26433333333333336
2010-11-10,BTC,0.21,0.24,0.14,0.24,0.231
2010-11-11,BTC,0.24,0.24,0.21,0.2231,0.2243666666666667
2010-11-12,BTC,0.2231,0.29,0.223,0.2682,0.2437666666666667
2010-11-13,BTC,0.2682,0.3,0.2682,0.276,0.2557666666666667
2010-11-14,BTC,0.276,0.299,0.2702,0.279,0.27440000000000003
2010-11-15,BTC,0.279,0.2828,0.2682,0.2682,0.27440000000000003
2010-11-16,BTC,0.2682,0.275,0.223,0.223,0.25673333333333337
2010-11-17,BTC,0.223,0.29,0.2116,0.2299,0.2403666666666667
2010-11-18,BTC,0.2299,0.283,0.2221,0.2678,0.24023333333333333
2010-11-19,BTC,0.2678,0.28,0.2678,0.28,0.25923333333333337
2010-11-20,BTC,0.28,0.29,0.2682,0.283,0.2769333333333333
2010-11-21,BTC,0.283,0.283,0.2763,0.2767,0.2799
2010-11-22,BTC,0.2767,0.2879,0.269,0.2879,0.2825333333333333
